Store;Area;Opening_Year;Food_Service;Beverages;2022_Dummy;2023_Dummy;Year;February_Dummy;Murch_Dummy;April_Dummy;May_Dummy;June_Dummy;July_Dummy;August_Dummy;September_Dummy;October_Dummy;November_Dummy;December_Dummy;Month;Data;Vacation_Time;Month_Year;Gross_Margin_Percentage_Store;Gross_Margin_Store;Number_of_Food_Service_Units_Sold;Number_of_Beverages_Units_Sold;Turnover_Food_Service;Turnover_Beverages;Share_in_Total_Sales_Food_Service;Number_of_Receipts_Food_Service;Number_of_Receipts_Beverages;Gross_Profit_Margin_Food_Service;Gross_Profit_Margin_Beverages;Share_of_Food_Service_Margin_in_Total_Margin;Discount_Availability_Food_Service;Discount_Amount_Food_Service;Discount_Availability_Bevareges;Discount_Amount_Beverages;Inventory_on_Market_Food_Service;Inventory_on_Market_Beverages;Inventory_Balance_Food_Service;Inventory_Balance_Beverages;Inventory_Turnover_Ratio_Food_Service;Inventory_Turnover_Ratio_;GMROI_Food_Service;GMROI_Beverages;Losses_Beverages;Store_ID;Competitor_Presence;Office_Dummy;School_Dummy;Location_Store;Type_Store
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;0;0;0;0;0;0;1;2021-01-01;1;Січень 2021;0,213373648;126042,21;4192,548;3479;39516,48;40531,26;0,0669;2801;2893;0,42;0,29;0,131459612;1;428;0;0;8530,95;2423,654629;7623,69;19340,83194;3,009963832;1,482359709;1,262093064;0,43380221;-69,03;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;1;0;0;0;0;0;0;0;0;0;0;2;2021-02-01;0;Лютий 2021;0,210483988;119038,23;4067,001;2986;39629,18;34226,28;0,0701;2653;2539;0,42;0,29;0,138767856;1;781,5;0;0;10031,20;2502,549304;8923,55;20315,13232;2,589831796;1,204396782;1,079522783;0,343404756;15,25;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;1;0;0;0;0;0;0;0;0;0;3;2021-03-01;0;Березень 2021;0,216125903;139478,98;4368,258;3607;45468,78;42720,15;0,0705;2920;3169;0,44;0,29;0,144303536;1;879,5;0;0;15956,25;2552,125339;10689,50;20984,61323;2,37068906;1,438573572;1,049414425;0,422015121;762,77;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;1;0;0;0;0;0;0;0;0;4;2021-04-01;0;Квітень 2021;0,223070744;149510,15;3365;5682;37975,3;66260,25;0,0567;2438;4845;0,45;0,30;0,115092387;1;830,72;0;0;17046,99;2394,015383;10133,01;20612,09683;2,049521486;2,265688463;0,928685224;0,668818726;81,11;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;1;0;0;0;0;0;0;0;5;2021-05-01;0;Травень 2021;0,223771625;169913,7;3846,544;6218;43987,6;70450,96;0,0579;2683;5216;0,43;0,30;0,111791868;1;661;0;0;16895,90;2490,46079;11518,54;21330,71161;2,169774516;2,315461898;0,936964095;0,692180894;-62,97;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;1;0;0;0;0;0;0;6;2021-06-01;1;Червень 2021;0,224618736;165956,68;3483,542;5771,999;42468,34;67551,97;0,0575;2616;4918;0,47;0,30;0,120919025;1;625;0;0;15034,58;2475,33815;12885,10;21246,8725;1,73852162;2,220847798;0,821493604;0,669552112;1562,29;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;1;0;0;0;0;0;7;2021-07-01;1;Липень 2021;0,221078612;166407,45;3527;5770;43202,21;69054,17;0,0574;2582;4801;0,48;0,30;0,124289868;1;602;1;28,96;13787,84;2648,32171;15380,17;23361,08694;1,464187266;2,070678909;0,700969552;0,620142428;58,16;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;0;1;0;0;0;0;8;2021-08-01;1;Серпень 2021;0,222301678;177358,07;3952;6870;48740,98;82895,97;0,0611;2935;5752;0,47;0,29;0,129375111;1;1153,5;1;22,84;12585,30;2498,717032;12254,23;22605,28113;2,105008666;2,604647988;0,990971856;0,754635883;-42,7;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;0;0;1;0;0;0;9;2021-09-01;0;Вересень 2021;0,224829969;171242,27;4324,556;5904;56886,26;72550,04;0,0747;3196;4963;0,46;0,29;0,152545455;1;931,5;1;47,66;11468,48;2530,095;11397,61;22708,51617;2,699164961;2,261553755;1,239459369;0,660651078;-708,31;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;0;0;0;1;0;0;10;2021-10-01;0;Жовтень 2021;0,226076471;177912,14;5216;5206;64071,51;63435,65;0,0814;3815;4474;0,48;0,28;0,171610155;1;1598,17;1;486,22;12014,63;2302,481387;12635,99;20850,89839;2,654321133;2,186373899;1,264844317;0,615142151;182,42;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;0;0;0;0;1;0;11;2021-11-01;0;Листопад 2021;0,224827987;163960,54;4761;4176;58359,39;52320,85;0,0800;3520;3627;0,49;0,28;0,174469479;1;1365,72;1;99,88;11632,47;2417,45695;14084,23;21867,10867;2,112525108;1,714645067;1,035499611;0,485890795;300;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;0;0;2021;0;0;0;0;0;0;0;0;0;0;1;12;2021-12-01;1;Грудень 2021;0,216864269;165146,35;4196;4002;51502;52848,17;0,0676;3067;3381;0,48;0,27;0,14989202;1;1152,29;1;128,52;12091,63;2289,761903;12424,67;21385,89823;2,152804841;1,798324279;1,034732425;0,489644001;-17,62;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;1;0;2022;0;0;0;0;0;0;0;0;0;0;0;1;2022-01-01;1;Січень 2022;0,221555382;163521,07;3596,56;3895;48650,23;52239,92;0,0659;2620;3275;0,47;0,28;0,140069656;1;1134,88;1;78,08;14039,01;2154,33479;17487,25;19840,07145;1,472266216;1,899191245;0,693137237;0,529325115;128,34;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;1;0;2022;1;0;0;0;0;0;0;0;0;0;0;2;2022-02-01;0;Лютий 2022;0,219399112;145860,81;3679;3989;51264,52;49985,62;0,0771;2613;3356;0,46;0,28;0,16153064;1;3838,12;1;510,17;15891,03;2186,647714;20639,60;20911,94232;1,342251594;1,72459064;0,616894031;0,48030142;-124,2;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;1;0;2022;0;1;0;0;0;0;0;0;0;0;0;3;2022-03-01;0;Березень 2022;0,21347874;157487,16;4103;5011;50072,71;62777,31;0,0679;2917;4192;0,4;0,27;0,128194133;1;10674,75;1;95,89;13890,76;2431,482968;21285,46;22482,88242;1,403952884;2,031741266;0,566062961;0,553361227;-106,07;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;1;0;2022;0;0;1;0;0;0;0;0;0;0;0;4;2022-04-01;0;Квітень 2022;0,217197432;157247,77;3773;5458;51342,91;69377,25;0,0709;2784;4625;0,41;0,29;0,134835553;1;7631,85;1;98,67;16661,98;2537,365933;22745,35;23882,54533;1,325119856;2,06176642;0,547222061;0,598435822;422,4;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;1;0;2022;0;0;0;1;0;0;0;0;0;0;0;5;2022-05-01;0;Травень 2022;0,226428531;178181,06;4034,11;5547;60021,46;72014,99;0,0763;2995;4669;0,47;0,30;0,15864666;1;4250,28;1;41,45;15155,22;2517,419355;20023,31;24241,50548;1,585833045;2,068458167;0,746867186;0,628233759;31,45;1101;1;0;1;3;1
Маркет 1101 - м. Луцьк;131,4;2012;01. Фуд сервіс;02. Напої;1;0;2022;0;0;0;0;1;0;0;0;0;0;0;6;2022-06-01;1;Червень 2022;0,227111156;185168,89;3651,408;6741;53950,32;85667,08;0,0662;2691;5654;0,47;0,30;0,136477083;1;4791,55;1;68,45;11202,59;2362,85;17118,44;23170,1365;1,675328574;2,603296705;0,78475434;0,770298812;131,21;1101;1;0;1;3;1
